RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10,PLAYOFFS
1,NYL,27,6,0.818,--,15-3,14-2,13-4,W1,8-2,True
2,CON,24,9,0.727,3,13-6,13-4,11-5,L1,6-4,True
3,MIN,24,9,0.727,3,14-5,15-3,9-6,W1,8-2,True
4,LVA,21,12,0.636,6,10-8,11-7,10-5,W3,5-5,True
5,SEA,20,13,0.606,7,8-6,12-5,8-8,W1,5-5,True
6,IND,17,16,0.515,10,10-8,9-5,8-11,W4,8-2,True
7,PHO,17,17,0.500,10.5,9-8,10-7,7-10,W1,5-5,True
8,CHI,11,22,0.333,16,5-12,4-12,7-10,L7,2-8,False
9,ATL,11,22,0.333,16,4-11,6-10,5-12,L1,4-6,False
10,WAS,10,23,0.303,17,4-11,4-12,6-11,W1,4-6,False
11,DAL,9,24,0.273,18,6-12,7-10,2-14,L2,4-6,False
12,LAS,7,25,0.219,19.5,4-12,5-11,2-14,L1,2-8,False
