RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,NYL,21,4,0.840,--,15-2,12-1,9-3,W4,9-1
2,CON,18,6,0.750,2.5,10-4,10-3,8-3,L1,5-5
3,MIN,17,8,0.680,4,11-4,11-3,6-5,W1,5-5
4,SEA,17,8,0.680,4,8-6,11-3,6-5,W3,8-2
5,LVA,16,8,0.667,4.5,8-5,8-5,8-3,L1,8-2
6,PHO,13,12,0.520,8,9-6,8-4,5-8,W1,5-5
7,IND,11,15,0.423,10.5,7-8,6-5,5-10,L1,5-5
8,CHI,10,14,0.417,10.5,5-9,4-8,6-6,W1,5-5
9,ATL,7,17,0.292,13.5,3-10,3-8,4-9,L8,1-9
10,LAS,6,18,0.250,14.5,4-10,4-8,2-10,L1,2-8
11,WAS,6,19,0.240,15,3-10,3-9,3-10,L2,4-6
12,DAL,6,19,0.240,15,3-12,4-7,2-12,W1,3-7
