RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10,PLAYOFFS
1,NYL,32,8,0.800,--,16-4,16-4,16-4,L1,7-3,True
2,MIN,30,10,0.750,2,14-6,16-4,14-6,L1,8-2,True
3,CON,28,12,0.700,4,14-6,14-6,14-6,W1,6-4,True
4,LVA,27,13,0.675,5,12-8,13-7,14-6,W5,9-1,True
5,SEA,25,15,0.625,7,13-7,14-6,11-9,W1,6-4,True
6,IND,20,20,0.500,12,11-9,12-8,8-12,L1,6-4,True
7,PHO,19,21,0.475,13,10-10,10-10,9-11,L1,3-7,True
8,ATL,15,25,0.375,17,7-13,8-12,7-13,W3,5-5,True
9,WAS,14,26,0.350,18,7-13,5-15,9-11,W1,6-4,False
10,CHI,13,27,0.325,19,5-15,6-14,7-13,L5,2-8,False
11,DALCircle,9,31,0.225,23,6-14,7-13,2-18,L9,1-9,False
12,LASCircle,8,32,0.200,24,5-15,5-15,3-17,W1,2-8,False
