RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,CON,12,1,0.923,--,8-1,7-1,5-0,W3,9-1
2,NYL,12,2,0.857,0.5,9-1,6-1,6-1,W8,8-2
3,MIN,11,3,0.786,1.5,9-2,7-1,4-2,W4,8-2
4,SEA,9,5,0.643,3.5,4-4,4-1,5-4,L1,8-2
5,PHO,7,7,0.500,5.5,5-5,5-2,2-5,W1,4-6
6,LVA,6,6,0.500,5.5,5-4,3-4,3-2,L1,4-6
7,ATL,6,6,0.500,5.5,2-4,3-4,3-2,W1,5-5
8,IND,5,10,0.333,8,4-6,3-4,2-6,W2,5-5
9,CHI,4,9,0.308,8,2-7,1-5,3-4,L4,2-8
10,LAS,4,10,0.286,8.5,2-6,3-4,1-6,L3,3-7
11,DAL,3,10,0.231,9,2-6,1-5,2-5,L8,2-8
12,WAS,2,12,0.143,10.5,2-8,1-5,1-7,W2,2-8
