RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10,PLAYOFFS
1,NYL,31,7,0.816,--,15-3,16-3,15-4,L1,7-3,True
2,MIN,29,9,0.763,2,14-5,16-3,13-6,W6,9-1,True
3,CON,27,11,0.711,4,13-6,13-5,14-6,L1,6-4,True
4,LVA,25,13,0.658,6,10-8,12-7,13-6,W3,8-2,True
5,SEA,24,14,0.632,7,12-6,14-5,10-9,W4,6-4,True
6,IND,20,19,0.513,11.5,11-8,12-8,8-11,W1,7-3,True
7,PHO,18,20,0.474,13,9-9,10-9,8-11,W1,3-7,True
8,WAS,13,25,0.342,18,6-12,4-14,9-11,L1,7-3,False
9,CHI,13,25,0.342,18,5-13,6-14,7-11,L3,2-8,False
10,ATL,13,25,0.342,18,5-13,7-12,6-13,W1,3-7,False
11,DALCircle,9,30,0.231,22.5,6-13,7-13,2-17,L8,2-8,False
12,LASCircle,7,31,0.184,24,4-14,5-14,2-17,L7,1-9,False
