RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,NYLClose,24,4,0.857,--,15-2,13-1,11-3,W7,9-1
2,CON,20,7,0.741,3.5,10-5,11-3,9-4,W1,6-4
3,MIN,20,8,0.714,4,12-4,12-3,8-5,W4,6-4
4,SEA,18,10,0.643,6,8-6,11-3,7-7,W1,6-4
5,LVA,17,10,0.630,6.5,9-6,9-7,8-3,L1,6-4
6,PHO,15,14,0.517,9.5,9-6,9-4,6-10,L1,6-4
7,IND,13,15,0.464,11,7-8,8-5,5-10,W2,6-4
8,CHI,11,16,0.407,12.5,5-9,4-9,7-7,L1,5-5
9,ATL,10,17,0.370,13.5,4-10,6-8,4-9,W3,3-7
10,DAL,6,21,0.222,17.5,3-12,4-8,2-13,L2,2-8
11,LAS,6,22,0.214,18,4-11,4-10,2-12,L5,2-8
12,WAS,6,22,0.214,18,3-10,3-11,3-11,L5,2-8
