RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10,PLAYOFFS
1,NYL,27,6,0.818,--,15-3,14-2,13-4,W1,8-2,True
2,CON,24,8,0.750,2.5,13-6,13-3,11-5,W2,7-3,True
3,MIN,24,9,0.727,3,14-5,15-3,9-6,W1,8-2,True
4,LVA,20,12,0.625,6.5,10-8,10-7,10-5,W2,5-5,True
5,SEA,19,13,0.594,7.5,8-6,12-5,7-8,L2,5-5,True
6,IND,17,16,0.515,10,10-8,9-5,8-11,W4,8-2,False
7,PHO,16,17,0.485,11,9-8,9-7,7-10,L3,4-6,False
8,CHI,11,21,0.344,15.5,5-12,4-12,7-9,L6,2-8,False
9,ATL,11,21,0.344,15.5,4-11,6-10,5-11,W1,4-6,False
10,WAS,9,23,0.281,17.5,4-11,4-12,5-11,L1,4-6,False
11,DAL,9,23,0.281,17.5,6-12,7-9,2-14,L1,4-6,False
12,LAS,7,25,0.219,19.5,4-12,5-11,2-14,L1,2-8,False
