RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,NYLClose,25,4,0.862,--,15-2,14-1,11-3,W8,9-1
2,CON,21,7,0.750,3.5,11-5,12-3,9-4,W2,7-3
3,MIN,21,8,0.724,4,13-4,13-3,8-5,W5,7-3
4,SEA,18,10,0.643,6.5,8-6,11-3,7-7,W1,6-4
5,LVA,17,11,0.607,7.5,9-7,9-7,8-4,L2,5-5
6,PHO,16,14,0.533,9.5,9-6,9-4,7-10,W1,6-4
7,IND,13,15,0.464,11.5,7-8,8-5,5-10,W2,6-4
8,CHI,11,17,0.393,13.5,5-10,4-9,7-8,L2,4-6
9,ATL,10,18,0.357,14.5,4-10,6-9,4-9,L1,3-7
10,WAS,7,22,0.241,18,3-10,4-11,3-11,W1,3-7
11,DAL,6,22,0.214,18.5,3-12,4-8,2-14,L3,2-8
12,LAS,6,23,0.207,19,4-11,4-10,2-13,L6,2-8
