RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,NYL,17,3,0.850,--,11-1,10-1,7-2,W5,9-1
2,CON,16,4,0.800,1,9-2,8-2,8-2,W2,7-3
3,MIN,14,6,0.700,3,10-3,9-2,5-4,L2,7-3
4,SEA,13,6,0.684,3.5,6-5,8-1,5-5,W4,7-3
5,LVA,12,6,0.667,4,6-4,7-4,5-2,W6,7-3
6,PHO,10,10,0.500,7,7-6,7-4,3-6,W1,6-4
7,ATL,7,11,0.389,9,3-8,3-7,4-4,L2,3-7
8,CHI,7,11,0.389,9,4-7,3-7,4-4,W1,4-6
9,IND,8,13,0.381,9.5,6-7,4-4,4-9,L1,6-4
10,WAS,5,16,0.238,12.5,2-10,3-7,2-9,L1,5-5
11,LAS,4,15,0.211,12.5,2-7,3-5,1-10,L8,2-8
12,DAL,4,16,0.200,13,3-9,2-6,2-10,L3,1-9
