RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,CON,13,1,0.929,--,8-1,8-1,5-0,W4,9-1
2,NYL,12,3,0.800,1.5,9-1,6-1,6-2,L1,8-2
3,MIN,11,3,0.786,2,9-2,7-1,4-2,W4,8-2
4,SEA,9,5,0.643,4,4-4,4-1,5-4,L1,8-2
5,PHO,8,7,0.533,5.5,5-5,6-2,2-5,W2,5-5
6,ATL,6,6,0.500,6,2-4,3-4,3-2,W1,5-5
7,LVA,6,6,0.500,6,5-4,3-4,3-2,L1,4-6
8,IND,5,10,0.333,8.5,4-6,3-4,2-6,W2,5-5
9,CHI,4,9,0.308,8.5,2-7,1-5,3-4,L4,2-8
10,LAS,4,11,0.267,9.5,2-6,3-4,1-7,L4,3-7
11,DAL,3,10,0.231,9.5,2-6,1-5,2-5,L8,2-8
12,WAS,2,12,0.143,11,2-8,1-5,1-7,W2,2-8
