RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10,PLAYOFFS
1,NYL,31,6,0.838,--,15-3,16-2,15-4,W5,8-2,True
2,MIN,28,9,0.757,3,14-5,16-3,12-6,W5,9-1,True
3,CON,27,10,0.730,4,13-6,13-5,14-5,W3,7-3,True
4,LVA,24,13,0.649,7,10-8,11-7,13-6,W2,7-3,True
5,SEA,23,14,0.622,8,11-6,13-5,10-9,W3,6-4,True
6,IND,19,19,0.500,12.5,11-8,11-8,8-11,L2,6-4,True
7,PHO,17,20,0.459,14,9-9,10-9,7-11,L3,3-7,True
8,WAS,13,24,0.351,18,6-11,4-13,9-11,W2,7-3,False
9,CHI,13,24,0.351,18,5-13,6-13,7-11,L2,2-8,False
10,ATL,12,25,0.324,19,4-13,7-12,5-13,L3,2-8,False
11,DALCircle,9,29,0.237,22.5,6-13,7-13,2-16,L7,3-7,False
12,LASCircle,7,30,0.189,24,4-13,5-14,2-16,L6,1-9,False
