RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,NYL,17,3,0.850,--,11-1,10-1,7-2,W5,9-1
2,CON,15,4,0.789,1.5,9-2,8-2,7-2,W1,6-4
3,MIN,14,5,0.737,2.5,10-3,9-1,5-4,L1,7-3
4,SEA,13,6,0.684,3.5,6-5,8-1,5-5,W4,7-3
5,LVA,11,6,0.647,4.5,6-4,6-4,5-2,W5,6-4
6,PHO,9,10,0.474,7.5,6-6,7-4,2-6,L2,5-5
7,ATL,7,11,0.389,9,3-8,3-7,4-4,L2,3-7
8,CHI,7,11,0.389,9,4-7,3-7,4-4,W1,4-6
9,IND,8,13,0.381,9.5,6-7,4-4,4-9,L1,6-4
10,WAS,5,15,0.250,12,2-10,3-7,2-8,W1,5-5
11,LAS,4,15,0.211,12.5,2-7,3-5,1-10,L8,2-8
12,DAL,4,15,0.211,12.5,3-8,2-5,2-10,L2,1-9
