RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10,PLAYOFFS
1,NYL,26,5,0.839,--,15-3,14-2,12-3,W1,9-1,True
2,CON,22,7,0.759,3,12-5,12-3,10-4,W3,7-3,True
3,MIN,22,8,0.733,3.5,13-4,14-3,8-5,W6,8-2,True
4,SEA,18,11,0.621,7,8-6,11-4,7-7,L1,5-5,False
5,LVA,18,12,0.600,7.5,9-8,9-7,9-5,L1,5-5,False
6,PHO,16,15,0.516,10,9-6,9-5,7-10,L1,5-5,False
7,IND,14,16,0.467,11.5,8-8,8-5,6-11,W1,6-4,False
8,CHI,11,18,0.379,14,5-10,4-10,7-8,L3,3-7,False
9,ATL,10,19,0.345,15,4-11,6-10,4-9,L2,3-7,False
10,WAS,8,22,0.267,17.5,3-10,4-11,4-11,W2,3-7,False
11,DAL,8,22,0.267,17.5,5-12,6-8,2-14,W2,4-6,False
12,LAS,6,24,0.200,19.5,4-12,4-10,2-14,L7,1-9,False
