RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10,PLAYOFFS
1,NYL,26,6,0.813,--,15-3,14-2,12-4,L1,8-2,True
2,MIN,23,8,0.742,2.5,14-4,14-3,9-5,W7,8-2,True
3,CON,22,8,0.733,3,12-6,12-3,10-5,L1,6-4,True
4,SEA,19,11,0.633,6,8-6,12-4,7-7,W1,6-4,False
5,LVA,18,12,0.600,7,9-8,9-7,9-5,L1,5-5,False
6,PHO,16,16,0.500,10,9-7,9-6,7-10,L2,4-6,False
7,IND,15,16,0.484,10.5,9-8,9-5,6-11,W2,7-3,False
8,CHI,11,19,0.367,14,5-11,4-11,7-8,L4,3-7,False
9,ATL,10,20,0.333,15,4-11,6-10,4-10,L3,3-7,False
10,WAS,9,22,0.290,16.5,4-10,4-11,5-11,W3,4-6,False
11,DAL,8,22,0.267,17,5-12,6-8,2-14,W2,4-6,False
12,LAS,7,24,0.226,18.5,4-12,5-10,2-14,W1,2-8,False
