RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10,PLAYOFFS
1,NYL,25,5,0.833,--,15-3,14-2,11-3,L1,8-2,True
2,CON,22,7,0.759,2.5,12-5,12-3,10-4,W3,7-3,True
3,MIN,22,8,0.733,3,13-4,14-3,8-5,W6,8-2,True
4,SEA,18,10,0.643,6,8-6,11-3,7-7,W1,6-4,False
5,LVA,18,11,0.621,6.5,9-7,9-7,9-4,W1,6-4,False
6,PHO,16,14,0.533,9,9-6,9-4,7-10,W1,6-4,False
7,IND,13,16,0.448,11.5,7-8,8-5,5-11,L1,6-4,False
8,CHI,11,18,0.379,13.5,5-10,4-10,7-8,L3,3-7,False
9,ATL,10,18,0.357,14,4-10,6-9,4-9,L1,3-7,False
10,WAS,7,22,0.241,17.5,3-10,4-11,3-11,W1,3-7,False
11,DAL,6,22,0.214,18,3-12,4-8,2-14,L3,2-8,False
12,LAS,6,23,0.207,18.5,4-11,4-10,2-13,L6,2-8,False
