RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10,PLAYOFFS
1,NYL,29,6,0.829,--,15-3,16-2,13-4,W3,8-2,True
2,MIN,26,9,0.743,3,14-5,15-3,11-6,W3,9-1,True
3,CON,25,10,0.714,4,13-6,13-5,12-5,W1,6-4,True
4,LVA,22,13,0.629,7,10-8,11-7,11-6,L1,6-4,True
5,SEA,21,14,0.600,8,9-6,13-5,8-9,W1,4-6,True
6,IND,19,17,0.528,10.5,11-8,11-6,8-11,W1,8-2,True
7,PHO,17,19,0.472,12.5,9-9,10-8,7-11,L2,3-7,True
8,CHI,13,22,0.371,16,5-12,6-12,7-10,W2,3-7,False
9,ATL,12,23,0.343,17,4-12,7-10,5-13,L1,4-6,False
10,WAS,11,24,0.314,18,4-11,4-13,7-11,L1,5-5,False
11,DALCircle,9,26,0.257,20,6-12,7-10,2-16,L4,3-7,False
12,LASCircle,7,28,0.200,22,4-12,5-12,2-16,L4,1-9,False
