RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,NYL,16,3,0.842,--,11-1,9-1,7-2,W4,9-1
2,CON,14,4,0.778,1.5,9-2,8-2,6-2,L1,6-4
3,MIN,14,4,0.778,1.5,10-3,9-1,5-3,W1,8-2
4,SEA,12,6,0.667,3.5,5-5,7-1,5-5,W3,7-3
5,LVA,10,6,0.625,4.5,6-4,5-4,5-2,W4,6-4
6,PHO,9,9,0.500,6.5,6-6,7-3,2-6,L1,6-4
7,ATL,7,10,0.412,8,3-7,3-6,4-4,L1,3-7
8,IND,8,12,0.400,8.5,6-7,4-4,4-8,W1,6-4
9,CHI,6,11,0.353,9,3-7,3-7,3-4,L2,3-7
10,DAL,4,14,0.222,11.5,3-7,2-5,2-9,L1,1-9
11,LAS,4,14,0.222,11.5,2-7,3-4,1-10,L7,2-8
12,WAS,4,15,0.211,12,2-10,3-7,1-8,L2,4-6
