RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,NYL,22,4,0.846,--,15-2,12-1,10-3,W5,9-1
2,CON,19,6,0.760,2.5,10-4,10-3,9-3,W1,6-4
3,MIN,18,8,0.692,4,11-4,12-3,6-5,W2,5-5
4,LVA,16,8,0.667,5,8-5,8-5,8-3,L1,8-2
5,SEA,17,9,0.654,5,8-6,11-3,6-6,L1,7-3
6,PHO,14,13,0.519,8.5,9-6,8-4,6-9,L1,5-5
7,IND,12,15,0.444,10.5,7-8,7-5,5-10,W1,5-5
8,CHI,10,15,0.400,11.5,5-9,4-9,6-6,L1,4-6
9,ATL,8,17,0.320,13.5,3-10,4-8,4-9,W1,2-8
10,LAS,6,19,0.240,15.5,4-10,4-9,2-10,L2,2-8
11,WAS,6,20,0.231,16,3-10,3-9,3-11,L3,3-7
12,DAL,6,20,0.231,16,3-12,4-8,2-12,L1,3-7
