RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10,PLAYOFFS
1,NYL,27,6,0.818,--,15-3,14-2,13-4,W1,8-2,True
2,CON,22,8,0.733,3.5,12-6,12-3,10-5,L1,6-4,True
3,MIN,23,9,0.719,3.5,14-5,14-3,9-6,L1,7-3,True
4,LVA,19,12,0.613,7,9-8,10-7,9-5,W1,5-5,True
5,SEA,19,12,0.613,7,8-6,12-5,7-7,L1,5-5,True
6,IND,16,16,0.500,10.5,10-8,9-5,7-11,W3,7-3,False
7,PHO,16,16,0.500,10.5,9-7,9-6,7-10,L2,4-6,False
8,CHI,11,20,0.355,15,5-12,4-12,7-8,L5,2-8,False
9,ATL,10,21,0.323,16,4-11,6-10,4-11,L4,3-7,False
10,WAS,9,22,0.290,17,4-10,4-11,5-11,W3,4-6,False
11,DAL,9,22,0.290,17,6-12,7-8,2-14,W3,4-6,False
12,LAS,7,24,0.226,19,4-12,5-10,2-14,W1,2-8,False
