RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,NYL,20,4,0.833,--,14-2,11-1,9-3,W3,8-2
2,CON,17,5,0.773,2,10-3,9-3,8-2,L1,6-4
3,MIN,16,7,0.696,3.5,11-4,10-2,6-5,L1,6-4
4,LVA,15,7,0.682,4,8-5,8-4,7-3,W3,9-1
5,SEA,15,8,0.652,4.5,7-6,10-3,5-5,W1,6-4
6,PHO,12,11,0.522,7.5,9-6,8-4,4-7,L1,6-4
7,IND,10,14,0.417,10,7-8,6-5,4-9,W1,6-4
8,CHI,9,14,0.391,10.5,5-9,4-8,5-6,L2,5-5
9,ATL,7,15,0.318,12,3-10,3-8,4-7,L6,1-9
10,LAS,6,17,0.261,13.5,4-9,4-7,2-10,W1,2-8
11,WAS,6,17,0.261,13.5,3-10,3-7,3-10,W1,5-5
12,DAL,5,19,0.208,15,3-12,3-7,2-12,L3,2-8
