RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,NYL,19,4,0.826,--,13-2,11-1,8-3,W2,8-2
2,CON,17,5,0.773,1.5,10-3,9-3,8-2,L1,6-4
3,MIN,16,7,0.696,3,11-4,10-2,6-5,L1,6-4
4,LVA,15,7,0.682,3.5,8-5,8-4,7-3,W3,9-1
5,SEA,15,8,0.652,4,7-6,10-3,5-5,W1,6-4
6,PHO,12,11,0.522,7,9-6,8-4,4-7,L1,6-4
7,IND,10,14,0.417,9.5,7-8,6-5,4-9,W1,6-4
8,CHI,9,13,0.409,9.5,5-8,4-7,5-6,L1,5-5
9,ATL,7,15,0.318,11.5,3-10,3-8,4-7,L6,1-9
10,WAS,6,17,0.261,13,3-10,3-7,3-10,W1,5-5
11,LAS,5,17,0.227,13.5,3-9,4-7,1-10,L2,1-9
12,DAL,5,18,0.217,14,3-11,3-6,2-12,L2,2-8
