RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,NYL,22,4,0.846,--,15-2,12-1,10-3,W5,9-1
2,CON,18,6,0.750,3,10-4,10-3,8-3,L1,5-5
3,MIN,18,8,0.692,4,11-4,12-3,6-5,W2,5-5
4,SEA,17,8,0.680,4.5,8-6,11-3,6-5,W3,8-2
5,LVA,16,8,0.667,5,8-5,8-5,8-3,L1,8-2
6,PHO,14,12,0.538,8,9-6,8-4,6-8,W2,6-4
7,IND,11,15,0.423,11,7-8,6-5,5-10,L1,5-5
8,CHI,10,15,0.400,11.5,5-9,4-9,6-6,L1,4-6
9,ATL,7,17,0.292,14,3-10,3-8,4-9,L8,1-9
10,LAS,6,19,0.240,15.5,4-10,4-9,2-10,L2,2-8
11,DAL,6,19,0.240,15.5,3-12,4-7,2-12,W1,3-7
12,WAS,6,20,0.231,16,3-10,3-9,3-11,L3,3-7
