RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,NYLClose,25,4,0.862,--,15-2,14-1,11-3,W8,9-1
2,CON,20,7,0.741,4,10-5,11-3,9-4,W1,6-4
3,MIN,20,8,0.714,4.5,12-4,12-3,8-5,W4,6-4
4,SEA,18,10,0.643,6.5,8-6,11-3,7-7,W1,6-4
5,LVA,17,10,0.630,7,9-6,9-7,8-3,L1,6-4
6,PHO,15,14,0.517,10,9-6,9-4,6-10,L1,6-4
7,IND,13,15,0.464,11.5,7-8,8-5,5-10,W2,6-4
8,CHI,11,16,0.407,13,5-9,4-9,7-7,L1,5-5
9,ATL,10,17,0.370,14,4-10,6-8,4-9,W3,3-7
10,WAS,6,22,0.214,18.5,3-10,3-11,3-11,L5,2-8
11,LAS,6,22,0.214,18.5,4-11,4-10,2-12,L5,2-8
12,DAL,6,22,0.214,18.5,3-12,4-8,2-14,L3,2-8
