RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,NYL,20,4,0.833,--,14-2,11-1,9-3,W3,8-2
2,CON,18,5,0.783,1.5,10-3,10-3,8-2,W1,6-4
3,LVA,16,7,0.696,3.5,8-5,8-4,8-3,W4,9-1
4,MIN,16,8,0.667,4,11-4,10-3,6-5,L2,5-5
5,SEA,16,8,0.667,4,7-6,11-3,5-5,W2,7-3
6,PHO,12,12,0.500,8,9-6,8-4,4-8,L2,5-5
7,IND,11,14,0.440,9.5,7-8,6-5,5-9,W2,6-4
8,CHI,9,14,0.391,10.5,5-9,4-8,5-6,L2,5-5
9,ATL,7,16,0.304,12.5,3-10,3-8,4-8,L7,1-9
10,LAS,6,17,0.261,13.5,4-9,4-7,2-10,W1,2-8
11,WAS,6,18,0.250,14,3-10,3-8,3-10,L1,4-6
12,DAL,5,19,0.208,15,3-12,3-7,2-12,L3,2-8
