RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,NYL,15,3,0.833,--,10-1,8-1,7-2,W3,9-1
2,CON,13,3,0.813,1,8-1,8-1,5-2,L2,7-3
3,MIN,13,3,0.813,1,10-2,9-1,4-2,W6,9-1
4,SEA,10,6,0.625,4,4-5,5-1,5-5,W1,7-3
5,LVA,8,6,0.571,5,6-4,5-4,3-2,W2,5-5
6,PHO,8,8,0.500,6,5-6,6-2,2-6,L1,5-5
7,ATL,6,9,0.400,7.5,2-6,3-6,3-3,L3,3-7
8,CHI,6,9,0.400,7.5,3-7,3-5,3-4,W2,4-6
9,IND,7,11,0.389,8,6-7,4-4,3-7,L1,6-4
10,LAS,4,13,0.235,10.5,2-6,3-4,1-9,L6,2-8
11,WAS,4,13,0.235,10.5,2-9,3-5,1-8,W2,4-6
12,DAL,3,13,0.188,11,2-6,1-5,2-8,L11,0-10
