RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,NYL,17,4,0.810,--,11-2,10-1,7-3,L1,8-2
2,CON,17,4,0.810,--,10-2,9-2,8-2,W3,7-3
3,MIN,16,6,0.727,1.5,11-3,10-2,6-4,W2,7-3
4,SEA,14,7,0.667,3,6-5,9-2,5-5,W1,7-3
5,LVA,13,7,0.650,3.5,7-5,8-4,5-3,W1,8-2
6,PHO,11,10,0.524,6,8-6,7-4,4-6,W2,6-4
7,IND,9,13,0.409,8.5,7-7,5-4,4-9,W1,6-4
8,CHI,8,12,0.400,8.5,4-7,3-7,5-5,L1,4-6
9,ATL,7,13,0.350,9.5,3-9,3-7,4-6,L4,2-8
10,WAS,5,17,0.227,12.5,2-10,3-7,2-10,L2,5-5
11,LAS,5,17,0.227,12.5,3-9,4-7,1-10,L2,1-9
12,DAL,5,17,0.227,12.5,3-10,3-6,2-11,L1,2-8
